connection_type,functions,matrix,model,screen
" HDMI, DisplayPort, USB C"," AMD FreeSync, HDR, Flicker-Free"," IPS, відгук 4мс, 170Гц","Монітор Acer ConceptD CP5271UV 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Dell U2721DE 27 """, 2560x1440 (16:9)
" VGA, DVI-D, HDMI, DisplayPort", Flicker-Free," відгук 4мс, 60Гц","Монітор EvroMedia 2K i-27 27 """, 2560x1440 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," *VA, відгук 4мс, 75Гц","Монітор Philips 248E9QHSB 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор Lenovo P27q-20 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," NVIDIA G-Sync, Flicker-Free"," IPS, відгук 2мс, 120Гц","Монітор Dell Alienware AW3420DW 34 """, 3440x1440 (21:9)
" VGA, DVI-D"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 144Гц","Монітор Acer Nitro VG270UPbmiipx 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Asus VZ279HE 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 1мс, 240Гц","Монітор Dell Alienware AW2720HF 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Dell U2719D 27 """, 2560x1440 (16:9)
" DVI-D, HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор Philips 275S1AE 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort, mini DisplayPort", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор Philips 223V5LSB 22 """, 2560x1440 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор Asus VA24DQ 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, HDR, Flicker-Free"," IPS, 144Гц","Монітор Acer Nitro VG272UPbmiipx 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 8мс, 60Гц","Монітор Philips 273V7QSB 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, HDR, Flicker-Free"," *VA, відгук 4мс, 165Гц","Монітор Asus TUF Gaming VG27WQ1B 27 """, 2560x1440 (16:9)
" VGA, DVI-D, HDMI, DisplayPort"," AMD FreeSync Premium, NVIDIA G-Sync Compatible, Flicker-Free"," TN+film, відгук 1мс, 144Гц","Монітор AOC AGON AG241QX 24 """, 2560x1440 (16:9)
 HDMI, Flicker-Free," ADS-IPS, відгук 6мс, 60Гц","Монітор Xiaomi Mi Desktop Monitor 24 24 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Philips 246E9QJAB 24 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Philips 242V8A 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор BenQ PD2500Q 25 """, 1920x1080 (16:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Dell SE2419H 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 2мс, 144Гц","Монітор Acer Nitro XV240YPbmiiprx 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Dell U4320Q 43 """, 3840x2160 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, HDR, Flicker-Free"," IPS, відгук 1мс, 280Гц","Монітор Asus TUF Gaming VG259QM 25 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," HDR, Flicker-Free"," IPS, відгук 4мс, 60Гц","Монітор Philips 278M1R 27 """, 3840x2160 (16:9)
" HDMI, DisplayPort, USB C"," NVIDIA G-Sync Compatible, HDR, Flicker-Free"," IPS, відгук 1мс, 144Гц","Монітор Acer Predator XB273GPbmiiprzx 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, NVIDIA G-Sync Compatible, Flicker-Free"," TN+film, відгук 1мс, 240Гц","Монітор Asus ROG Strix XG258Q 25 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI", USB B," IPS, відгук 14мс, 60Гц","Монітор Asus MB169B+ 16 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор HP E273 27 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," TN+film, відгук 1мс, 75Гц","Монітор LG 24MK400H 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, Flicker-Free"," IPS, відгук 1мс, 165Гц","Монітор MSI Optix G273QF 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," TN+film, відгук 1мс, 144Гц","Монітор Iiyama G-Master GB2560HSU-B1 25 """, 1920x1080 (16:9)
" VGA, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Dell P2419HC 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, Flicker-Free"," IPS, 144Гц","Монітор QUBE Overlord G27F144 27 """, 1920x1080 (16:9)
" DVI, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор MSI Optix G27C 27 """, 1920x1080 (16:9)
 HDMI," AMD FreeSync, HDR, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор LG 29WL50S 29 """, 2560x1080 (21:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Acer SA240YAbi 24 """, 1920x1080 (16:9)
